20230306	09:19:37	b982cd0d-435d-4b0f-8573-a25c192d2e4e	/new-page.html 	 GET
20230306	09:19:37	dc3f63f0-af82-4486-ab9f-565b1f197280	/img/person.jpg 	 GET
20230306	09:20:37	95ffec09-37dc-437f-9485-c1c6949cf156	/new-page.html 	 GET
20230306	09:21:04	42c9ec37-0726-4142-b3b0-92b2bee1b462	/new-page.html 	 GET
20230306	09:21:04	ea7bfd9b-f334-49f0-8e5f-67f152780b9f	/img/person.jpg 	 GET
20230306	11:43:31	5ee47a26-9690-4b50-adb0-ff7bd1cc38bb	GET 	 undefined 	 /
20230306	11:43:31	a55363ac-3680-4fa3-a376-689c4d0cd427	GET 	 undefined 	 /css/style.css
20230306	11:47:06	ff498fd6-6512-4087-a4a9-425a5beaf3cd	GET 	 undefined 	 /
20230306	11:47:06	f33cbb6f-dca4-468b-9519-b76fcf1975c1	GET 	 undefined 	 /css/style.css
20230306	15:20:35	515298e8-be4d-4f4c-8441-4d638e39f0c8	OPTIONS 	 https://www.google.com 	 /
20230306	15:20:35	deb950d4-a0a5-414a-aa0d-ad82764ac787	GET 	 https://www.google.com 	 /
20230306	15:35:04	632ad44c-cf8f-49a7-a7b6-6f0db86335a8	OPTIONS 	 https://www.google.com 	 /
20230306	15:35:04	f601510f-cacf-4c36-9b0c-ea7b9f6787b0	GET 	 https://www.google.com 	 /
20230306	15:36:59	9be70457-adb1-455f-a3f2-4d07a21cc4d0	OPTIONS 	 https://www.google.com 	 /
20230306	15:36:59	287a6615-a85b-45aa-b6d5-12fc996bd11c	GET 	 https://www.google.com 	 /
20230306	15:40:45	8dd5adc1-59ce-406b-b325-a3305e050191	GET 	 undefined 	 /
20230306	15:40:45	e03bb6a4-4c46-4a17-806a-5634486abac6	GET 	 undefined 	 /css/style.css
20230306	16:00:05	5d41255e-77c2-42ee-8f67-242e54731927	GET 	 undefined 	 /
20230306	16:01:05	596fa611-b16d-4b39-98f5-37d5b48ca3ae	GET 	 undefined 	 /
20230306	16:01:05	0727a637-d21c-4d95-b8e2-37ac6b6b76ac	GET 	 undefined 	 /css/style.css
20230306	16:21:42	29af964d-8029-4ac7-9704-c7bcb4a52645	GET 	 undefined 	 /
20230306	16:21:42	6f7ebc68-b398-4e01-9157-d9e275ac9d3c	GET 	 undefined 	 /css/style.css
20230306	16:22:21	ed5587e1-3655-4273-b234-5b2724eb3c61	GET 	 undefined 	 /dac
20230306	16:22:28	a5c267b7-104d-493f-8123-dff3cf74dcfb	GET 	 undefined 	 /
20230306	16:22:28	7bea0712-4da6-42be-8837-600ef44b93c6	GET 	 undefined 	 /css/style.css
20230306	16:40:30	705edd29-3a48-4a9c-8aaa-bf7f3e4d962a	GET 	 undefined 	 /json
20230306	16:40:38	d60d003d-ab33-41cc-a602-6c086bf3d57c	GET 	 undefined 	 /txt
20230306	16:40:48	b31c4924-554e-4ea8-9ae1-579d87d307f5	GET 	 undefined 	 /jbkj
20230306	16:40:53	b192f2f9-4311-41d5-b91a-8ae84d655dc0	GET 	 undefined 	 /
20230306	16:40:53	55f31808-e63f-4d15-9018-ed19194902d5	GET 	 undefined 	 /css/style.css
20230306	16:47:36	2c3cc7db-9f50-481b-9eab-7923c00fce4a	GET 	 undefined 	 /nj
20230306	16:48:14	c0fa4140-a20a-4e11-b17a-ff9a6d2fcfae	GET 	 undefined 	 /
20230306	16:48:14	d80fb471-1b49-4124-b972-440d2d79f567	GET 	 undefined 	 /css/style.css
20230307	08:48:23	a579c81c-e88b-4656-bbed-20a23316fb60	GET 	 undefined 	 /
20230307	08:48:23	652f4c2c-1a2c-4dc3-9af8-3b3f242e0b6a	GET 	 undefined 	 /css/style.css
20230307	08:48:24	92b6afdb-70ed-43b7-800b-2a24f335459c	GET 	 undefined 	 /favicon.ico
20230307	08:48:28	c0dba4a3-5c51-473d-b668-07a700be7d26	GET 	 undefined 	 /
20230307	08:48:28	67cb6f29-9411-41be-b0d1-dd23f6085b03	GET 	 undefined 	 /css/style.css
20230307	08:48:37	5561ee1a-e500-4f06-8435-9d055b45700d	GET 	 undefined 	 /hhh
20230307	09:09:34	bd3cac99-f059-416a-b82a-ebdaee5f2e81	GET 	 undefined 	 /subdir
20230307	09:09:41	0a63e0aa-1660-4921-92a2-a05fad9139b6	GET 	 undefined 	 /Subdir
20230307	09:14:40	73c29b45-a38a-4680-a566-e8404d4e2064	GET 	 undefined 	 /subdir
20230307	09:16:30	4e0c4987-493c-4276-88d0-4c1093bec0b2	GET 	 undefined 	 /subdir
20230307	09:18:05	d9d9621c-d6b3-47d9-be92-b233530a4fc0	GET 	 undefined 	 /dave
20230307	09:18:15	ddad415d-2e16-416f-9485-aab8802db0f5	GET 	 undefined 	 /subdir/test
20230307	09:21:23	e11b6e13-52ec-4325-9d83-6d1599c6c6d8	GET 	 undefined 	 /hsd
20230307	09:21:24	bb2dc6a5-af24-4a8e-ba5d-a86df6bf6592	GET 	 undefined 	 /css/style.css
20230307	09:22:23	514a6452-def5-4ee7-b15b-c83acc21ab4a	GET 	 undefined 	 /subdir/jfkj
20230307	09:22:23	28b2b67c-3e9d-4882-aff0-f8644323183a	GET 	 undefined 	 /css/style.css
20230307	09:22:51	157c9b62-f5f4-4469-9630-97e7f905165d	GET 	 undefined 	 /subdir/jfkj
20230307	09:22:51	a602aa24-9545-46ce-ab1f-1bd81201a1f1	GET 	 undefined 	 /css/style.css
20230307	09:23:02	14fe36fe-bcbe-4b6f-9f6b-504f241cfd7a	GET 	 undefined 	 /subdir/
20230307	09:23:08	de4dfbc6-775b-4d2c-9d80-4d7730c242ba	GET 	 undefined 	 /subdir/dave
20230307	09:23:08	b4fbd62e-2015-4eeb-a5ae-a9a75eaef933	GET 	 undefined 	 /css/style.css
20230307	09:25:24	36427b77-55a0-44fe-961a-60a630b58b2b	GET 	 undefined 	 /subdir/dave
20230307	09:25:24	bd18fc4d-d120-4d66-b07e-fab4edfe48e0	GET 	 undefined 	 /css/style.css
